Structure	states	Phase	Energy
ZrO2	PE	3_m_p21_c	-1.1513E+02
ZrO2	PE	9_o_i41_amd	-1.1504E+02
ZrO2	PE	6_m_p21_m	-1.1493E+02
ZrO2	FE	1_o1_pca21	-1.1484E+02
ZrO2	PE	7_o_pbcn	-1.1478E+02
ZrO2	PE	2_t_p42_nmc	-1.1469E+02
ZrO2	FE	2_o2_pmn21	-1.1468E+02
ZrO2	PE	5_t-p4_nbm	-1.1458E+02
ZrO2	FE	3_r_r3	-1.1455E+02
ZrO2	PE	4_c-p-43m	-1.1454E+02
ZrO2	PE	1_c_fm-3m	-1.1429E+02
ZrO2	FE	4_m_cc-nocubiccell	-1.1427E+02
ZrO2	FE	5_m_pm-nocubiccell	-1.1225E+02
ZrO2	FE	6_m_c2_m-nocubiccell	-1.1161E+02
ZrO2	PE	8_o_p42_mnm	-5.7299E+01
