Space Group,a,b,c,alpha,beta,gamma,Functional
Fm-3m,5.072,5.072,5.072,90.0,90.0,90.0,HSE
P4_2/nmc,5.077,5.077,5.196,90.0,90.0,90.0,HSE
P2_1/c,5.152,5.203,5.319,90.0,99.553,90.0,HSE
P-43m,5.095,5.095,5.095,90.0,90.0,90.0,HSE
P4/nbm,5.109,5.109,5.076,90.0,90.0,90.0,HSE
P2_1/m,5.429,5.185,5.186,84.391,100.405,100.407,HSE
Pbcn,4.964,5.722,5.232,90.0,90.0,90.0,HSE
P4/nbm,5.109,5.109,5.076,90.0,90.0,90.0,HSE
Pca2_1,5.266,5.061,5.084,90.0,90.0,90.0,HSE
Pmn2_1,5.111,5.202,5.111,90.0,85.848,90.0,HSE
P-43m,5.034,5.031,5.029,89.992,90.019,90.038,HSE
Fm-3m,5.117,5.117,5.117,90.0,90.0,90.0,PBE
P4_2/nmc,5.121,5.121,5.277,90.0,90.0,90.0,PBE
P2_1/c,5.188,5.249,5.369,90.0,99.622,90.0,PBE
P-43m,5.145,5.145,5.145,90.0,90.0,90.0,PBE
P4/nbm,5.163,5.163,5.121,90.0,90.0,90.0,PBE
P2_1/m,5.488,5.23,5.232,84.48,100.478,100.482,PBE
Pbcn,4.996,5.798,5.27,90.0,90.0,90.0,PBE
P4/nbm,5.163,5.163,5.122,90.0,90.0,90.0,PBE
Pca2_1,5.323,5.1,5.128,90.0,90.0,90.0,PBE
Pmn2_1,5.152,5.264,5.152,90.0,85.697,90.0,PBE
P2,5.136,5.145,5.153,89.974,90.027,90.059,PBE
Fm-3m,5.065,5.065,5.065,90.0,90.0,90.0,PBESol
P4_2/nmc,5.072,5.072,5.172,90.0,90.0,90.0,PBESol
P2_1/c,5.13,5.213,5.296,90.0,99.592,90.0,PBESol
P-43m,5.088,5.088,5.088,90.0,90.0,90.0,PBESol
P4/nbm,5.101,5.101,5.071,90.0,90.0,90.0,PBESol
P2_1/m,5.415,5.177,5.177,84.091,100.664,100.664,PBESol
Pbcn,4.999,5.659,5.191,90.0,90.0,90.0,PBESol
P4/nbm,5.101,5.101,5.072,90.0,90.0,90.0,PBESol
Pca2_1,5.256,5.053,5.071,90.0,90.0,90.0,PBESol
Pmn2_1,5.108,5.185,5.109,90.0,85.782,90.0,PBESol
P2,5.077,5.089,5.1,89.93,90.005,90.044,PBESol
